Seccion	Circuito	Nombre Seccion	Nombre Circuito	Electores 2007	Electores 2011	Electores 2013	Electores 2015	Electores 2017
1	11M	CAPITAL	VALLE ESCONDIDO	423	1509	2764	3960	4742
1	4E	CAPITAL	NUESTRO HOGAR III	260	976	1512	2135	2596
1	14H	CAPITAL	MERCANTIL	892	1002	1211	3606	4663
21	326C	SANTA MARIA	SAN NICOLAS		497	879	1744	2461
1	13O	CAPITAL	CHACHAPOYAS	382	682	904	1265	1382
12	158B	PUNILLA	ESTANCIA VIEJA	372	530	658	1038	1300
21	316F	SANTA MARIA	VALLE DE ANIZACATE	302	420	488	793	1040
1	5H	CAPITAL	VILLA BOEDO	596	1030	1527	1742	1944
1	10M	CAPITAL	AMPLIACION CABILDO		575	982	1555	1868
19	276	SAN JAVIER	YACANTO	384	459	787	1177	1236
2	20B	CALAMUCHITA	VI.CIUD.PQUE.LOS REARTES	437	606	653	1095	1368
1	12I	CAPITAL	CIUDAD DE MIS SUEÑOS	813	1359	1719	2326	2535
1	4F	CAPITAL	CIUDAD OBISPO ANGELELLI	880	1355	1735	2325	2679
1	4D	CAPITAL	VILLA EUCARISTICA	795	981	1451	1942	2225
3	40A	COLON	MENDIOLAZA	4147	5487	6903	9937	11529
1	11L	CAPITAL	COUNTRYS DEL OESTE	1007	1603	2224	2576	2772
1	6E	CAPITAL	LA FLORESTA SUD	852	1308	1677	2121	2291
18	263C	SAN ALBERTO	ARROYO DE LOS PATOS	266	379	444	610	713
1	5I	CAPITAL	COLINAS DEL SUR	1941	3258	4032	4756	5111
21	316A	SANTA MARIA	ANIZACATE	1832	2405	2951	4043	4759
21	316G	SANTA MARIA	VILLA EL PRADO	684	769	959	1365	1717
21	326B	SANTA MARIA	BARRIO PRIMERO DE MAYO	701	836	1045	1348	1730
19	269A	SAN JAVIER	QUEBRACHO LADEADO	170	170	155	254	398
12	147B	PUNILLA	VILLA PARQUE SIQUIMAN	913	1123	1240	1746	2105
4	46B	CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	169	180	270	430	388
12	156D	PUNILLA	SAN ANTONIO DE ARREDONDO	2086	2752	3437	4474	4750
2	23	CALAMUCHITA	VILLA YACANTO	760	937	1026	1443	1673
21	316J	SANTA MARIA	VILLA PARQUE SANTA ANA	1399	1611	1883	2572	2999
2	20	CALAMUCHITA	LOS REARTES	710	942	1031	1328	1513
1	10K	CAPITAL	VICOR	2626	3341	4117	4888	5551
12	158C	PUNILLA	VILLA SANTA CRUZ DEL LAGO	1365	1710	2022	2540	2881
21	328	SANTA MARIA	POTRERO DE GARAY	646	899	972	1241	1363
12	158A	PUNILLA	CABALANGO	280	307	303	440	585
1	13L	CAPITAL	VILLA GRAN PARQUE	223	301	372	420	461
21	316E	SANTA MARIA	LOS CEDROS	594	826	909	1136	1219
2	328A	CALAMUCHITA	LA CUMBRECITA	411	465	641	762	834
4	57	CRUZ DEL EJE	TUCLAME	656	667	592	1219	1322
12	156B	PUNILLA	CUESTA BLANCA	239	306	348	425	477
12	156C	PUNILLA	MAYU SUMAJ	640	753	895	1115	1244
10	138	MINAS	CIENAGA DEL CORO	492	605	751	926	946
3	31B	COLON	VILLA CERRO AZUL	199	212	240	363	382
1	8	CAPITAL	LA FLORESTA NORTE	412	523	598	702	784
3	28A	COLON	CALERA CENTRAL	7141	8555	10290	12301	13522
4	46	CRUZ DEL EJE	GUANACO MUERTO	494	599	691	958	932
21	316B	SANTA MARIA	LA PAISANITA	93	106	131	165	173
3	35	COLON	MALVINAS ARGENTINAS	7134	8454	9851	11928	13138
12	156A	PUNILLA	YCHO CRUZ	985	1176	1339	1620	1802
12	147A	PUNILLA	SAN ROQUE	707	843	856	1103	1293
2	18D	CALAMUCHITA	VILLA QUILLINZO	93	95	94	160	169
1	13D	CAPITAL	JARDIN ARENALES	1515	1859	2199	2553	2733
12	149	PUNILLA	CASA GRANDE	424	527	545	643	763
3	34	COLON	JUAREZ CELMAN	6317	7344	8007	9863	11360
21	316H	SANTA MARIA	VILLA LA BOLSA	615	738	823	974	1103
11	146B	POCHO	SAN JERONIMO	153	160	162	290	274
3	41A	COLON	SALDAN	6813	8004	8731	10787	12096
24	357	TOTORAL	SINSACATE	1127	1285	1465	1774	1995
21	316D	SANTA MARIA	LA SERRANITA	269	307	344	427	471
1	14Q	CAPITAL	VILLA WARCALDE	724	883	1028	1168	1266
21	316I	SANTA MARIA	VILLA LOS AROMOS	547	624	662	850	956
9	122	MARCOS JUAREZ	BARGE	162	143	161	228	283
1	11F	CAPITAL	LOS ROBLES	4825	5577	6498	7350	8340
1	12A	CAPITAL	CARCANO	3370	4140	4834	5497	5820
1	5C	CAPITAL	EMPALME	10665	15675	17173	17670	18384
3	35A	COLON	MI GRANJA	598	736	763	915	1024
3	38	COLON	SALSIPUEDES	5733	6767	7167	8733	9743
12	151	PUNILLA	CHARBONIER	422	465	561	658	704
21	328B	SANTA MARIA	VILLA CIUDAD DE AMERICA	513	515	578	744	850
19	275A	SAN JAVIER	LOS CERRILLOS	1389	1580	1717	2021	2299
1	14C	CAPITAL	ARGUELLO SEGUNDO	3026	3595	4232	4650	5006
18	261A	SAN ALBERTO	SAN LORENZO	638	729	814	961	1053
1	14A	CAPITAL	ARGUELLO NORTE	11218	13415	15498	17290	18293
1	13G	CAPITAL	PARQUE LICEO	11663	14254	15877	17986	18982
12	147	PUNILLA	BIALET MASSE	3805	4337	4693	5554	6163
14	211	RIO PRIMERO	MONTE CRISTO	6272	6926	8217	9441	10150
7	91C	ISCHILIN	VILLA GUTIERREZ	189	206	237	279	305
21	316C	SANTA MARIA	LA RANCHERITA	104	114	135	159	167
21	324	SANTA MARIA	FALDA DEL CARMEN	894	836	994	1266	1433
18	265C	SAN ALBERTO	SAUCE ARRIBA	541	606	672	797	865
4	54	CRUZ DEL EJE	SAN MARCOS SIERRAS	1598	1792	1968	2333	2555
19	274A	SAN JAVIER	LA POBLACION	315	336	355	459	503
21	317	SANTA MARIA	BAJO CHICO	204	217	227	298	324
1	14E	CAPITAL	CERRO NORTE	4192	5084	5863	6463	6648
2	15A	CALAMUCHITA	VILLA AMANCAY	359	420	416	505	567
2	24A	CALAMUCHITA	VILLA DEL DIQUE	2249	2600	2889	3325	3550
1	14I	CAPITAL	SANTA CECILIA	3441	3935	4610	5146	5406
2	20A	CALAMUCHITA	VILLA GENERAL BELGRANO	5285	6163	6568	7501	8272
13	172	RIO CUARTO	HOLMBERG	3422	3768	3996	4707	5333
20	295A	SAN JUSTO	TORO PUJIO	187	203	207	252	291
1	12H	CAPITAL	LOS CERVECEROS	7337	8095	9223	10415	11415
4	44A	CRUZ DEL EJE	LAS PLAYAS	485	481	483	618	754
4	55A	CRUZ DEL EJE	LA BATEA	134	121	117	169	207
3	30	COLON	COLONIA TIROLESA	4100	4187	4362	5315	6265
20	288A	SAN JUSTO	VILLA SAN ESTEBAN	127	127	115	189	194
2	26	CALAMUCHITA	SANTA ROSA	8238	9317	10165	11640	12509
